Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S1204008873,nba,2017/04/20,NBA BPN League (NBA Game 4),$60k,,,1,1,Tournament,0,0,https://www.fanduel.com/entry/DAJCEEHRI, endedunmatched
S1203136137,nba,2017/04/19,$100 NBA Beginner's Only Free Play,$60k,257.50,,864,1383,Tournament,0,0,https://www.fanduel.com/entry/CLJVDHJCD,
S1203135648,nba,2017/04/19,NBA BPN League (NBA Game 3),$60k,257.50,,2,2,Tournament,0,0,https://www.fanduel.com/entry/AAHFMAWJB,
S1202473073,nba,2017/04/18,NBA BPN League (NBA Game 2),$60k,263.20,,1,2,Tournament,0,0,https://www.fanduel.com/entry/CDXEIEKEF,
S1202080328,nba,2017/04/18,NBA $1 50/50 Contest (Beginners Only) (Main),$60k,263.70,,9,20,Tournament,1,1.80,https://www.fanduel.com/entry/BHZDMRABR,
S1202079038,nba,2017/04/18,NBA $1 50/50 Contest (Experienced Players Excluded) (Main),$60k,263.70,,8,20,Tournament,1,1.80,https://www.fanduel.com/entry/FBVLNUYHN,
S1202069429,nba,2017/04/18,NBA $1 Double Up (Beginners Only),$60k,263.20,,6,22,Tournament,1,2.00,https://www.fanduel.com/entry/EZRUJZZEY,
S1202069340,nba,2017/04/18,$1 NBA Head-To-Head (Beginners Only) ,$60k,263.20,0,2,2,2 player league,1,0,https://www.fanduel.com/entry/ABIZKVZBW,
S1202069256,nba,2017/04/18,NBA Mini Swat (Beginners Only),$60k,263.20,,91,220,Tournament,1,0,https://www.fanduel.com/entry/DLBDIZDMQ,
S1202069114,nba,2017/04/18,$100 NBA Beginner's Only Free Play,$60k,263.20,,649,1382,Tournament,0,0,https://www.fanduel.com/entry/DWHCPBTTK,
S1201225477,nba,2017/04/17,NBA $1 50/50 Contest (Beginners Only) (Main),$60k,245.40,,20,20,Tournament,1,0,https://www.fanduel.com/entry/AAVDEPEYI,
S1201225387,nba,2017/04/17,$1 NBA Head-To-Head (Beginners Only) ,$60k,245.40,0,2,2,2 player league,1,0,https://www.fanduel.com/entry/APUKVKAQA,
S1201225306,nba,2017/04/17,NBA $1 Double Up (Beginners Only),$60k,245.40,,22,22,Tournament,1,0,https://www.fanduel.com/entry/BINAWTIUA,
S1201170411,nba,2017/04/17,NBA BPN League (NBA Game 1),$60k,,,1,1,Tournament,0,0,https://www.fanduel.com/entry/AKLJSNCTD, endedunmatched
S1201059467,nba,2017/04/16,NBA Head-to-head (Late Night),$60k,221,266.1,2,2,gwb04,1,0,https://www.fanduel.com/entry/DZMOGXBST,
S1200518584,nba,2017/04/16,$1 NBA Head-To-Head (Experienced Players Excluded) ,$60k,235.40,0,2,2,2 player league,1,0,https://www.fanduel.com/entry/AEANZASUL,
S1200497863,nba,2017/04/16,NBA Mini Swat (Beginners Only),$60k,235.40,,180,220,Tournament,1,0,https://www.fanduel.com/entry/AEOKIHUQM,
S1200497548,nba,2017/04/16,$100 NBA Beginner's Only Free Play,$60k,235.40,,692,866,Tournament,0,0,https://www.fanduel.com/entry/CADURXWIE,
S1200489508,nba,2017/04/16,$1 NBA Head-To-Head (Beginners Only) ,$60k,235.40,0,2,2,2 player league,1,0,https://www.fanduel.com/entry/AGSALOYPO,
S1200489427,nba,2017/04/16,NBA Beginner Double Up ($1),$60k,235.40,,11,11,Tournament,1,0,https://www.fanduel.com/entry/BYOCKMUWI,
